
2025/03/06 (20:29:34) | ===> btop++ v.1.4.0
2025/03/06 (20:29:34) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/03/06 (21:44:20) | ===> btop++ v.1.4.0
2025/03/06 (21:44:20) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/03/08 (09:03:34) | ===> btop++ v.1.4.0
2025/03/08 (09:03:34) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/03/08 (09:03:35) | ===> btop++ v.1.4.0
2025/03/08 (09:03:35) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/03/08 (09:03:38) | ===> btop++ v.1.4.0
2025/03/08 (09:03:38) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/03/08 (09:03:42) | ===> btop++ v.1.4.0
2025/03/08 (09:03:42) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/03/08 (09:03:43) | ===> btop++ v.1.4.0
2025/03/08 (09:03:43) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/03/08 (09:03:44) | ===> btop++ v.1.4.0
2025/03/08 (09:03:44) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/03/09 (16:08:40) | ===> btop++ v.1.4.0
2025/03/09 (16:08:40) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/03/09 (16:09:17) | ===> btop++ v.1.4.0
2025/03/09 (16:09:17) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/03/09 (16:09:44) | ===> btop++ v.1.4.0
2025/03/09 (16:09:44) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/03/28 (18:35:07) | ===> btop++ v.1.4.0
2025/03/28 (18:35:07) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

